,,Question,Réponse,
1,FAQ9-1,Est-ce que le mal est visible?,Oui.,https://youtu.be/9PSui6ZoY0I?t=305
2,FAQ9-2,Le mal jumeau peut-il simplement être le négatif du mal?,"Non, il ne peut pas simplement être le négatif du mal.",https://youtu.be/9PSui6ZoY0I?t=312
3,FAQ9-3,Serait-ce plutôt le bien qui est le négatif du mal?,"Oui, on pourrait le dire ainsi, même si ce n'est pas forcément la meilleure formule.",https://youtu.be/9PSui6ZoY0I?t=320
4,FAQ9-4,Le personnage barbu connaît le Comte parce qu'il en a entendu parler ou parce qu'il l'a côtoyé?,"Alors là-dessus, d'ailleurs c'était une des questions du sondage, comme le personnage a été trouvé par plusieurs personnes, je vais donner peu d'éléments. Je répondrais peu aux questions portant sur le personnage. Donc là dessus, je répondrais pas.",https://youtu.be/9PSui6ZoY0I?t=322
5,FAQ9-5,Y’a-t-il une évocation du paradis perdu dans le jeu?,"Non, il n'y a pas de référence de façon globale aux jansénistes, ni au paradis perdu.",https://youtu.be/9PSui6ZoY0I?t=344
6,FAQ9-6,Les initiales du personnage barbu sont-elles NF?,"Là, je peux vous répondre que non.",https://youtu.be/9PSui6ZoY0I?t=354
7,FAQ9-7,"Dans l’illustration un, les deux pierres blanches font-elles partie du cahier des charges?",Non.,https://youtu.be/9PSui6ZoY0I?t=361
8,FAQ9-8,Est-ce qu'un arbre symbolique peut se trouver sur le lieu final de la cache?,"Je ne pourrais pas vous répondre. Ça porte sur l'un des endroits, sur l'endroit de la cache.",https://youtu.be/9PSui6ZoY0I?t=367
9,FAQ9-9,La Rose des vents de l'illustration un aurait-elle pu être dessinée un peu plus à droite ou un peu plus à gauche?,Oui.,https://youtu.be/9PSui6ZoY0I?t=376
10,FAQ9-10,"Est-il normal qu'il soit  écrit mon second alors que traditionnellement, le second est employé quand on n'attend pas de troisième?","Alors, pour le premier, vous avez raison, Pour le second, je suis moins certain.",https://youtu.be/9PSui6ZoY0I?t=382
