,,Question,Réponse
1,FAQ3-1,A la fin de notre parcours initiatique serons-nous en accord avec tous les actes ou affiliation du Comte? Ou alors la loi Godwin s'applique-t-elle à cette chasse ?,"Non, vous ne pourrez pas approuver tout ce que le Comte a fait c'est certain."
2,FAQ3-2,Le RC de l'illustration 1 restera-t-il un RC pour les autres versions linguistiques?,Oui le RC est présent et identique quelles que soient les versions linguistiques du jeu.
3,FAQ3-3,Le support de jeu serait mondial. Comment tracer les droites d'un continent à un autre avec un support dématérialisé?,"Avec Google Maps, vous pouvez tracer des droites entre n'importe quels points. Si vous devez le faire même entre deux continents vous le pouvez."
4,FAQ3-4,Faut-il forcément Google Maps et ses fonctionnalités pour trouver le coffre? Peut-on utiliser une carte papier?,"Vous avez besoin de Maps pour être le plus précis possible pour prendre en compte la courbure de la terre. La carte papier peut vous être utile simplement pour vous repérer, pour avoir une vue d'ensemble un peu plus tangible et pour des distances courtes. Parce que sinon vous aurez un manque de précision."
5,FAQ3-5,Les salons de Discord peuvent-ils contenir des IS dans les photos de l'équipe? Y a-t-il d'autres sources que les FAQs pour les indices?,Non il n'y a aucun indice dans notre communication en général et si on donne un indice on le dira évidemment. On préviendra que c'est un indice et on le transmettra à tous les joueurs sur tous nos supports en même temps.
6,FAQ3-6,Y a-t-il des anagrammes?,"Oui, bien sûr, il y a des anagrammes. Après à vous de voir si ils sont utiles ou tous utiles."
7,FAQ3-7,Pourriez-vous nous dire si c'est volontaire qu'il manque des joints de carrelage dans l'illustration 4?,Je crois qu'il en manque 1 mais ce n'est pas volontaire et vous pouvez faire comme si tous les joints étaient dessinés. Ça ne change rien.
8,FAQ3-8,Est-ce qu'il y a des énigmes qui ont été découvertes?,"Oui des énigmes ont déjà été résolues quasiment complètement, mais ce n'est pas la majorité. Encore beaucoup d'énigmes, de visuels et d'éléments du parchemin n'ont pas encore été bien compris."
9,FAQ3-9,Qu'importe le flacon pourvu qu'on ait l'ivresse. Comment définiriez-vous l'ivresse dans la chasse?,"Alors, je vous répondrais que oui l'ivresse ne dépend pas de la qualité du vin. C'est au sens propre une concentration d'alcool dans le sang. Mais au sens figuré, ça peut être une certaine foi ou mission qui vous anime. Et dans le cas de l'Élixir d'Or je partirais plus sur la seconde option."
10,FAQ3-10,Est-ce que la taille a quelque chose à voir dans la chasse?,"Alors oui, la taille est importante dans tout domaine. De surcroit dans la chasse également. Mais le plus important, c'est que vous vous soyez de taille pour affronter les obstacles qu'il y a dans le jeu, notamment le mal."
11,FAQ3-11,Des énigmes doivent-elles être forcément résolues dans l'ordre? (clés de passage),"Non vous pouvez travailler sur les énigmes dans l'ordre ""qu'il vous chante"". Y'aura peut-être un moment où ça manquera de cohérence et où il faudra revenir en arrière. Mais en tout cas le jeu ne vous bloque pas inutilement. Pareil ça rejoint les enseignements du sondage que je vous partage dans une autre vidéo. Et si il vous manque des décryptages, si vous bloquez sur la grappe, sur RC, sur la charade de l'énigme 4, sur les runes, surtout avancez ailleurs. Vous êtes un Discord avec 3000 personnes, forcément qu'il y aura d'autres joueurs ou joueuses qui reviendront sur les éléments qui vous faisez défaut, sur lesquels vous pourrez vous appuyer ou échanger. Et je ne parlerais pas de clé mais plutôt de grille de lecture."
12,FAQ3-12,Est-ce que la marmotte mettait déjà le chocolat dans le papier d'alu au 17ème siècle?,Je n'ai pas la référence sur la marmotte mais je serais ravi de l'avoir. Je sens que je manque quelque chose de croustillant.
13,FAQ3-13,Vous arrive-t-il de ne pas respecter la sacro sainte cohérence des unités?,"Ça dépend si vous parlez de calcul je pense que vous faites référence à l'énigme 5. C'est comme prendre un train ou l'avion. Plus vous voyagez loin plus ça vous coute de l'argent. Pour moi multiplier des km par des euros, par exemple, ça ne manque pas de cohérence."
14,FAQ3-14,"Si durant la chasse je découvre une occurrence linguistique mot/locution/intonation et que mes recherches me conduisent à des sources dont l'une des définitions de la dite occurrence est une supposition. Dois-je: 1- considérer celle-ci comme une insertion de fait, 2- l'ignorer car peu plausible en dehors du contexte de la chasse?",Je n'ai pas compris la question. Comment une définition peut être une supposition? Est-ce que c'est donc vous qui inventez la définition de l'occurrence? Je vous invite peut-être à revenir sur cette question parce que je ne l'ai pas totalement comprise. Peut-être que je serais à même d'y répondre plus clairement.
15,FAQ3-15,"Le terme ""garde des sceaux"" des l'énigme 4 ne comprend pas de majuscules. En revanche, le terme ""Keeper of the Seal"" avec des majuscules. Ne faudrait-il pas qu'ils soient cohérents?","Je ne peux pas répondre. Il y a en effet des différences entre la version anglaise et française. Et de façon générale, je peux vous conseiller de ne pas comparer les deux versions. Ça vous évitera de tomber dans des pièges."
16,FAQ3-16,Si je m'allonge sur le dos pourrais-je voir en hauteur la grappe de raisins. Ou bien dois-je être debout et regarder autour de moi ou bien encore être assis/penché pour la voir?,"C'est une bonne question mais ce n'est pas forcément la meilleure façon de trouver la grappe puisque que si vous faites par tâtonnement et élimination, vous allez prendre beaucoup de temps, ça sera difficile. Mais pour répondre quand même à votre questions, la grappe est suffisamment visible pour que vous puissiez la voir d'une majorité d'angles."
17,FAQ3-17,"La majuscule à ""Evil"" mais pas à ""ma""l est-elle volontaire? Vignes VS Vine?","Même réponse, je ne peux pas répondre sur les différences entre les deux versions."
18,FAQ3-18,Y'a t il des indices cachés dans vos publications insta?,Non.
19,FAQ3-19,"Pas d'erreur sur l'écriture de ""grappe de raisins"" or curieusement il manque le mot ""la"".","Je la refais : il n'y a pas d'erreur sur ""LA grappe de raisins"". Il n'y en a pas plusieurs. Par contre, il y a plusieurs raisins. En tout cas ""raisins"" s'écrit au pluriel."
20,FAQ3-20,"Etes-vous sûr, à l'énigme 4, sur la distance ""lieue"", car la version anglaise précise ""league""? Il n'existe aucune mesure commune.","La traduction de ""lieue"" est ""league"". Après, c'est à vous de voir à quelle distance ce terme fait référence. En tout cas le Comte n'a pas utilisé plusieurs mesures à ce moment là. Il n'en a utilisé qu'une seule."
21,FAQ3-21,"Doit-on trouver un livre en particulier, ou un poème, ou une lettre?","C'est trop précis, mais il faut en effet trouver une référence littéraire. Une ou plusieurs d'ailleurs. Il y a des références littéraires dans le jeu."
22,FAQ3-22,"Le E dans le O à ""cœur"" est-il manquant?","Oui vous avez raison. Ça ne change rien au jeu, mais, en effet le E doit être mis dans le O."
23,FAQ3-23,"Planter le lierre de la connaissance est-il un acte fait pour lutter contre l'ignorance, commémorer un souvenir, les deux à la fois, rien de tout ça?",Je partirais plutôt sur la 1. Planter le lierre de la connaissance reviendrait à lutter contre l'ignorance.
24,FAQ3-24,"Avez-vous fait exprès d'écrire ""sapientissimum vir"" au lieu de"" virum""?",Oui c'est fait exprès.
25,FAQ3-25,La solution de l'énigme 2 nous amène-t-elle à positionner un ou plusieurs lieux sur la carte?,C'est une très bonne question. Et je vous invite à répondre à cette question de façon tranchée.
26,FAQ3-26,Certains noms communs auraient-ils pu être remplacés par d'autres sans que cela ne change quoi que ce soit aux réponses attendues?,"Peut-être quelques uns, mais de manière générale je ne pense pas que la charade soit soluble si les termes en avaient été différents."
